ACCELEROMETRO X (m/s²);ACCELEROMETRO Y (m/s²);ACCELEROMETRO Z (m/s²);GIROSCOPIO X (rad/s);GIROSCOPIO Y (rad/s);GIROSCOPIO Z (rad/s);CAMPO MAGNETICO X (μT);CAMPO MAGNETICO Y (μT);CAMPO MAGNETICO Z (μT);ORIENTAMENTO X (°);ORIENTAMENTO Y (°);ORIENTAMENTO Z (°);Temperatura ( °C);Livello (%);Voltaggio (Volt);Tempo da inizio in ms ; 
0.686; 8.2612; 5.3583; -0.031; 0.0; 0.0; 42.0; -53.4; 45.0; 207.1873; -56.9572; -6.4588; 27.2; 82.0; 3.969; 15; 
0.663; 8.274; 5.3753; -0.0758; -0.0345; 0.0; 42.0; -52.8; 44.4; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 217; 
0.688; 8.2291; 5.3752; 0.0; -0.0185; 0.0; 42.0; -52.8; 43.8; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 419; 
0.6749; 8.247; 5.3728; -0.0353; 0.0; 0.0; 42.0; -51.6; 43.8; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 642; 
0.666; 8.2329; 5.3232; 0.0265; 0.0; 0.0; 40.8; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 877; 
0.6962; 8.1706; 5.268; 0.1139; 0.1402; 0.0; 40.8; -53.1; 42.9; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1078; 
0.6874; 8.1904; 5.3033; 0.1395; 0.1349; 0.0; 42.0; -53.1; 43.5; 207.922; -57.2739; -6.4588; 27.2; 82.0; 3.969; 1287; 
0.6803; 8.2223; 5.346; 0.0894; 0.0581; 0.0; 41.7; -53.4; 44.4; 207.922; -57.2739; -6.4588; 27.2; 82.0; 3.969; 1489; 
0.6615; 8.2878; 5.3427; -0.0449; 0.0; 0.0; 41.1; -53.4; 44.1; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1690; 
0.6895; 8.263; 5.4389; 0.1949; 0.0314; 0.0; 40.2; -53.4; 42.3; 207.3685; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1910; 
0.66; 8.1872; 5.3363; -0.0417; -0.202; 0.0; 40.5; -52.8; 43.2; 207.3685; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2116; 
0.7234; 8.2149; 5.3289; 0.0; 0.025; 0.0; 40.2; -53.7; 43.8; 206.4756; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2317; 
0.87; 8.0576; 5.1146; 0.4709; 0.4481; 0.0245; 42.0; -53.1; 42.6; 206.4756; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2520; 
0.666; 8.2693; 5.4294; -0.0833; -0.0486; 0.0; 42.3; -53.7; 43.8; 207.703; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2723; 
0.6714; 8.2258; 5.3638; 0.0; -0.0219; 0.0; 41.1; -53.4; 44.4; 207.703; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2925; 
0.685; 8.2263; 5.3518; 0.0; 0.0; 0.0; 41.1; -53.4; 44.1; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3165; 
0.7152; 8.1859; 5.3328; 0.0286; 0.0185; 0.0; 42.0; -52.8; 43.8; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3367; 
0.7061; 8.1964; 5.3783; 0.0254; 0.0; 0.0; 41.7; -52.8; 44.1; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3569; 
0.6597; 8.2329; 5.3409; 0.0; 0.0333; 0.0; 42.0; -52.5; 43.2; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3773; 
0.7809; 8.2475; 5.349; -0.0354; -0.0201; 0.0; 41.7; -52.8; 42.3; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3975; 
0.7074; 8.1729; 5.3036; 0.0435; 0.0343; 0.0; 41.4; -53.1; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4179; 
0.7008; 8.1965; 5.4038; -0.0397; -0.0191; 0.0; 40.8; -52.5; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4381; 
0.6443; 8.2248; 5.2824; 0.0381; 0.0; 0.0; 41.7; -52.8; 43.5; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4595; 
0.7264; 8.2127; 5.3286; 0.0296; 0.0565; 0.0; 41.7; -51.3; 43.8; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4802; 
0.6996; 8.1688; 5.3756; 0.0; 0.0; 0.0; 42.3; -51.9; 42.6; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5010; 
0.6714; 8.2332; 5.3529; 0.0413; 0.0266; 0.0; 41.7; -53.1; 43.2; 208.247; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5210; 
0.6697; 8.2255; 5.359; 0.0178; 0.0; 0.0; 42.0; -52.2; 43.8; 208.247; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5411; 
0.7288; 8.1847; 5.3116; 0.0; 0.0201; 0.0; 41.4; -52.8; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5614; 
0.7071; 8.1896; 5.3461; -0.0302; 0.0; 0.0; 42.0; -52.2; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5816; 
0.6181; 8.2167; 5.3309; 0.0273; 0.0; 0.0; 42.0; -51.6; 42.9; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6018; 
0.7046; 8.2336; 5.3352; 0.0; 0.0; 0.0; 41.4; -52.8; 43.5; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6227; 
0.7056; 8.2035; 5.3574; 0.0252; 0.0; 0.0; 41.7; -51.9; 42.6; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6429; 
0.6859; 8.2532; 5.3803; 0.0; 0.0; 0.0; 41.1; -52.2; 42.9; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6632; 
0.6868; 8.2178; 5.3512; 0.0241; -0.0217; 0.0; 41.7; -52.5; 43.5; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6833; 
0.6493; 8.2071; 5.3271; 0.0241; 0.0; 0.0; 42.9; -52.5; 42.6; 209.0464; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7034; 
0.7432; 8.2064; 5.3792; -0.0271; 0.0; 0.0; 42.0; -52.8; 42.6; 209.0464; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7236; 
0.6634; 8.1983; 5.343; 0.0517; 0.025; 0.0; 41.7; -51.9; 42.9; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7439; 
0.6696; 8.2437; 5.3677; -0.0442; -0.0176; 0.0; 41.7; -51.0; 43.5; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7644; 
0.6838; 8.2137; 5.3852; 0.0; 0.0; 0.0; 42.3; -51.6; 43.8; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7848; 
0.7586; 8.2719; 5.4746; -0.4087; 0.3042; 0.0; 41.4; -51.3; 42.9; 207.2254; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8067; 
0.6935; 8.2224; 5.3184; -0.1295; -0.0891; 0.0; 40.8; -51.9; 44.4; 207.2254; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8274; 
0.6914; 8.2011; 5.2985; 0.0581; 0.0; 0.0; 41.4; -52.2; 43.2; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8475; 
0.6826; 8.2278; 5.3268; 0.0; 0.0312; 0.0; 41.1; -51.9; 43.2; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8696; 
0.6814; 8.2184; 5.3169; 0.0452; 0.0; 0.0; 41.7; -52.5; 44.4; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 8907; 
0.7191; 8.1949; 5.3321; -0.0465; -0.0531; 0.0; 41.4; -52.8; 45.0; 206.9254; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9134; 
0.6687; 8.2327; 5.4124; 0.0281; 0.0289; 0.0; 42.0; -51.9; 43.5; 206.9254; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9334; 
0.6782; 8.1547; 5.5024; -0.023; 0.0; 0.0; 42.3; -52.5; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9535; 
0.745; 8.1224; 5.5442; 0.0; 0.0342; 0.0; 41.1; -52.2; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9738; 
0.7687; 8.1857; 5.4505; 0.0174; 0.0235; 0.0; 43.8; -51.9; 42.9; 208.7176; -56.472; -6.3402; 27.2; 82.0; 3.969; 9944; 
0.6398; 8.3031; 5.243; -0.0444; -0.0458; 0.0; 42.3; -52.2; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10145; 
0.6544; 8.2513; 5.322; 0.0; 0.0; 0.0; 42.0; -51.9; 44.7; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10381; 
0.8576; 8.0652; 5.5317; 0.0718; 0.2643; 0.0; 41.4; -52.5; 43.8; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10585; 
0.6323; 8.2669; 5.2484; 0.0217; 0.0; 0.0; 42.6; -52.8; 45.0; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10786; 
0.7377; 8.1588; 5.4214; 0.0; 0.0; 0.0; 41.4; -52.5; 44.4; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10988; 
0.6799; 8.2281; 5.4259; -0.0466; -0.0332; 0.0; 41.1; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 11213; 
0.7107; 8.3029; 5.3636; 0.0909; -0.5629; 0.0637; 42.0; -52.2; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 11415; 
0.6607; 8.2395; 5.3791; -0.0316; -0.0481; 0.0; 40.8; -52.5; 44.1; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 11617; 
0.6733; 8.2202; 5.3933; -0.0466; -0.0492; 0.0; 39.9; -51.6; 42.6; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 11820; 
0.713; 8.1847; 5.3425; 0.0365; 0.0296; 0.0; 40.5; -52.8; 42.6; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 12056; 
0.7883; 8.2544; 5.3638; -0.0903; 0.1212; 0.0; 41.1; -52.2; 42.9; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12258; 
0.7073; 8.2067; 5.3535; 0.028; 0.0456; 0.0; 41.7; -51.3; 43.8; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12459; 
0.6699; 8.2239; 5.3765; -0.0466; -0.0248; 0.0; 41.1; -52.5; 43.5; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12665; 
0.6396; 8.2437; 5.3551; 0.0; 0.0; 0.0; 41.4; -53.1; 43.8; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12866; 
0.6832; 8.2453; 5.3559; -0.0595; -0.0249; 0.0; 41.4; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13067; 
0.6365; 8.2179; 5.3686; 0.0; 0.0251; 0.0; 41.1; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13304; 
0.7806; 8.1988; 5.4199; 0.2006; 0.1082; 0.0; 41.1; -52.2; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13512; 
0.5428; 8.2368; 5.3928; 0.0258; 0.0389; 0.0; 40.8; -51.6; 42.3; 208.1874; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13713; 
0.7306; 8.2124; 5.3455; -0.036; 0.0; 0.0; 40.8; -52.2; 43.2; 208.1874; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13915; 
0.766; 8.2182; 5.3413; -0.0382; 0.0217; 0.0; 40.8; -51.6; 43.5; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 14131; 
0.5893; 8.2507; 5.3994; 0.0; 0.0484; 0.0; 40.8; -51.3; 43.5; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 14333; 
0.6842; 8.321; 5.2714; 0.0; 0.0419; 0.0; 42.3; -52.2; 42.6; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 14553; 
0.9127; 8.0619; 5.5418; 0.0; 0.0664; 0.0; 42.3; -52.5; 43.2; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 14837; 
1.1032; 7.8364; 5.8888; 0.0236; -0.0359; 0.0; 42.6; -52.5; 42.9; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 15038; 
1.1659; 7.8009; 5.987; 0.0183; 0.042; -0.0417; 42.3; -52.5; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 15242; 
1.0028; 7.8962; 5.7982; 0.0279; -0.0837; -0.0533; 42.6; -52.2; 42.9; 207.5814; -55.5437; -8.2759; 27.2; 82.0; 3.969; 15463; 
1.077; 7.8864; 5.8825; -0.0296; -0.1498; -0.064; 42.9; -51.9; 42.9; 207.5814; -55.5437; -8.2759; 27.2; 82.0; 3.969; 15666; 
1.1635; 7.8666; 5.9512; -0.0232; -0.1658; -0.0927; 42.6; -52.2; 40.8; 207.6344; -54.664; -9.1302; 27.2; 82.0; 3.969; 15866; 
1.1237; 7.8006; 5.9594; -0.0467; -0.2521; -0.1119; 41.7; -51.9; 42.3; 207.6344; -54.664; -9.1302; 27.2; 82.0; 3.969; 16069; 
0.9912; 7.8623; 5.8654; 0.0; -0.0794; -0.1503; 42.0; -52.2; 40.5; 206.3097; -54.5844; -10.1247; 27.2; 82.0; 3.969; 16272; 
0.2006; 8.4315; 5.1557; 0.1494; -0.0848; -0.113; 42.6; -51.6; 41.1; 206.3097; -54.5844; -10.1247; 27.2; 82.0; 3.969; 16476; 
0.2404; 8.3568; 5.0167; 0.0; -0.121; -0.097; 43.2; -50.7; 39.9; 208.9205; -55.5437; -8.2759; 27.2; 82.0; 3.969; 16677; 
0.6714; 8.1097; 5.5644; 0.1452; 0.1028; -0.1354; 43.5; -51.3; 37.8; 211.0627; -55.6088; -7.2532; 27.2; 82.0; 3.969; 16922; 
0.5773; 8.1465; 5.6805; -0.0254; -0.2745; -0.0991; 43.2; -50.1; 37.8; 211.0627; -55.6088; -7.2532; 27.2; 82.0; 3.969; 17128; 
0.6251; 7.9847; 5.6629; -0.0733; -0.3054; -0.1055; 42.9; -49.2; 36.0; 211.7332; -55.6088; -7.2532; 27.2; 82.0; 3.969; 17330; 
0.7237; 7.9786; 5.7106; 0.0247; -0.2393; -0.1066; 42.3; -49.5; 34.5; 211.7332; -55.6088; -7.2532; 27.2; 82.0; 3.969; 17550; 
0.7633; 8.02; 5.59; -0.1725; -0.3598; -0.13; 41.7; -49.8; 34.8; 211.2953; -55.6088; -7.2532; 27.2; 82.0; 3.969; 17753; 
0.594; 7.5584; 6.1943; 0.0; -0.3779; -0.1215; 42.3; -48.9; 33.9; 211.2385; -54.7356; -8.1301; 27.2; 82.0; 3.969; 17964; 
1.1818; 7.7602; 5.8774; -0.0222; -0.299; -0.146; 41.4; -49.2; 34.2; 211.2385; -54.7356; -8.1301; 27.2; 82.0; 3.969; 18179; 
0.541; 7.7988; 6.1046; 0.0823; -0.364; -0.2132; 42.0; -47.7; 29.7; 211.9332; -53.7758; -9.9506; 27.2; 82.0; 3.969; 18400; 
-0.0085; 8.3598; 5.4662; -0.0584; -0.3427; -0.2025; 41.7; -47.4; 29.4; 211.9332; -53.7758; -9.9506; 27.2; 82.0; 3.969; 18602; 
0.2332; 8.4203; 5.2165; 0.0; -0.2606; -0.1343; 41.7; -46.2; 28.2; 214.1332; -53.8534; -8.9726; 27.2; 82.0; 3.969; 18827; 
0.0957; 8.6986; 4.7632; 0.1036; -0.1018; -0.1215; 39.0; -45.6; 26.4; 213.8972; -55.5437; -8.2759; 27.2; 82.0; 3.969; 19035; 
0.0939; 8.7969; 4.4227; 0.0908; -0.0421; -0.1044; 39.9; -46.5; 26.1; 213.8972; -55.5437; -8.2759; 27.2; 82.0; 3.969; 19252; 
-0.7014; 9.5421; 3.3842; 0.0; 0.0; 0.0; 40.5; -46.5; 26.7; 217.2201; -59.1118; -5.7106; 27.2; 82.0; 3.969; 19454; 
1.3976; 7.7488; 5.7539; -0.018; -0.0442; 0.032; 39.6; -45.3; 26.4; 217.2201; -59.1118; -5.7106; 27.2; 82.0; 3.969; 19658; 
1.3938; 8.504; 5.3484; -0.0265; 0.0187; 0.0; 39.0; -45.0; 24.9; 217.2398; -59.1118; -5.7106; 27.2; 82.0; 3.969; 19859; 
0.8848; 8.1468; 5.2954; 0.0; 0.0; 0.0; 37.8; -45.3; 24.6; 217.2398; -59.1118; -5.7106; 27.2; 82.0; 3.969; 20064; 
1.1303; 8.3371; 5.1403; 0.0598; 0.0304; 0.0; 37.5; -45.3; 25.8; 214.3624; -58.9923; -7.9696; 27.2; 82.0; 3.969; 20265; 
1.1031; 8.2731; 5.1792; 0.03; 0.0; 0.0; 38.1; -47.1; 24.9; 213.6025; -58.4265; -8.9149; 27.2; 82.0; 3.969; 20521; 
1.0649; 8.4817; 5.0478; 0.0; 0.0; 0.0; 38.4; -45.9; 25.5; 213.6025; -58.4265; -8.9149; 27.2; 82.0; 3.969; 20722; 
1.0849; 8.8637; 4.4112; 0.3487; 0.2637; -0.0191; 39.3; -47.4; 25.2; 214.2342; -58.1196; -8.9149; 27.2; 82.0; 3.969; 20924; 
1.7798; 9.678; 3.1063; 0.0278; 0.0; -0.05; 40.8; -48.0; 25.5; 214.2342; -58.1196; -8.9149; 27.2; 82.0; 3.969; 21144; 
1.965; 9.4484; 3.1331; -0.0862; -0.1733; -0.1214; 39.0; -46.8; 25.5; 212.0871; -60.806; -12.0115; 27.2; 82.0; 3.969; 21347; 
1.9883; 8.7529; 4.2968; -0.067; -0.2628; -0.1673; 37.8; -46.8; 23.7; 210.5965; -63.101; -15.5928; 27.2; 82.0; 3.969; 21553; 
2.084; 8.8125; 4.3501; -0.1097; -0.412; -0.1843; 38.1; -46.5; 22.2; 210.5965; -63.101; -15.5928; 27.2; 82.0; 3.969; 21755; 
2.5772; 9.2109; 3.4665; -0.0542; -0.3865; -0.2515; 36.6; -44.7; 21.9; 210.4685; -63.9521; -17.5924; 27.2; 82.0; 3.969; 21988; 
2.6098; 9.5771; 3.2231; -0.0979; -0.4589; -0.2653; 34.5; -44.1; 20.7; 210.4685; -63.9521; -17.5924; 27.2; 82.0; 3.969; 22192; 
2.3869; 9.5367; 2.8805; -0.0894; -0.4557; -0.2493; 33.3; -45.0; 19.2; 209.7483; -63.9521; -17.5924; 27.2; 82.0; 3.969; 22396; 
3.4104; 9.3933; 2.6676; -0.1022; -0.5421; -0.309; 32.4; -43.5; 18.0; 209.7483; -63.9521; -17.5924; 27.2; 82.0; 3.969; 22598; 
2.4151; 7.9366; 5.3422; -0.1235; -0.3278; -0.2845; 28.2; -42.3; 17.1; 206.2354; -66.2718; -20.7256; 27.2; 82.0; 3.969; 22821; 
1.7274; 8.2984; 5.4078; 0.1387; -0.1616; -0.195; 26.4; -39.6; 15.6; 204.5259; -67.0668; -23.1986; 27.2; 82.0; 3.969; 23036; 
1.4806; 7.8449; 5.4542; -0.1779; -0.3332; -0.1268; 24.0; -38.7; 16.2; 204.5259; -67.0668; -23.1986; 27.2; 82.0; 3.969; 23236; 
1.6794; 8.3478; 5.366; -0.1022; -0.1999; -0.1449; 23.4; -39.9; 16.5; 202.6014; -64.2854; -19.29; 27.2; 82.0; 3.969; 23437; 
0.6157; 8.6111; 4.6579; 0.2176; -0.1136; -0.0959; 23.7; -39.9; 16.5; 202.6014; -64.2854; -19.29; 27.2; 82.0; 3.969; 23643; 
0.7748; 8.2702; 5.2818; -0.0873; -0.1136; -0.0478; 23.1; -39.3; 16.2; 205.7236; -63.6015; -15.9454; 27.2; 82.0; 3.969; 23852; 
0.5444; 8.9182; 4.6405; -0.1725; -0.0752; 0.0; 23.7; -39.6; 17.1; 208.2654; -62.189; -11.3099; 27.2; 82.0; 3.969; 24059; 
0.1419; 8.5604; 4.5784; -0.051; -0.0912; 0.0; 23.4; -39.6; 17.1; 208.2654; -62.189; -11.3099; 27.2; 82.0; 3.969; 24261; 
-0.1018; 8.536; 4.884; 0.1345; 0.2019; 0.0; 24.6; -39.9; 17.1; 211.7211; -61.9328; -7.4314; 27.2; 82.0; 3.969; 24463; 
0.6498; 8.8562; 4.6877; -0.1182; 0.0495; 0.096; 24.9; -40.2; 16.2; 211.7211; -61.9328; -7.4314; 27.2; 82.0; 3.969; 24665; 
0.2566; 8.6282; 4.486; -0.019; 0.1902; 0.0832; 25.8; -39.9; 17.1; 212.7509; -61.9328; -7.4314; 27.2; 82.0; 3.969; 24894; 
-0.2813; 8.7096; 4.7213; -0.0926; 0.1518; 0.1205; 26.1; -40.2; 18.6; 212.7509; -61.9328; -7.4314; 27.2; 82.0; 3.969; 25100; 
-0.0437; 8.2088; 5.1918; 0.0491; 0.0463; 0.1163; 25.2; -40.8; 19.2; 210.7566; -61.9937; -6.2034; 27.2; 82.0; 3.969; 25301; 
0.0799; 8.2071; 5.4642; -0.0884; 0.1837; 0.0725; 27.9; -40.2; 20.4; 214.7604; -60.7848; -3.5763; 27.2; 82.0; 3.969; 25561; 
-0.5067; 7.5683; 5.9405; 0.0; 0.1784; 0.1365; 29.1; -39.6; 21.3; 214.7604; -60.7848; -3.5763; 27.2; 82.0; 3.969; 25764; 
-0.4998; 7.9982; 5.9868; -0.0329; 0.3063; 0.1184; 29.7; -39.3; 21.6; 217.3222; -57.9326; 0.0; 27.2; 82.0; 3.969; 25966; 
-0.2127; 8.0619; 5.9832; 0.0982; 0.1827; 0.08; 30.9; -38.7; 21.3; 217.3222; -57.9326; 0.0; 27.2; 82.0; 3.969; 26168; 
-0.9137; 8.1461; 6.0572; 0.1195; 0.2914; 0.0821; 31.5; -38.1; 22.2; 220.1033; -57.4349; 1.0809; 27.2; 82.0; 3.969; 26370; 
-0.6326; 7.8949; 5.6184; 0.1152; 0.2935; 0.0779; 32.7; -36.9; 22.2; 220.1033; -57.4349; 1.0809; 27.2; 82.0; 3.969; 26572; 
-1.5033; 7.6416; 4.5893; 0.3092; 0.3383; 0.1578; 36.3; -37.5; 21.6; 226.8322; -57.8139; 5.4923; 27.2; 82.0; 3.969; 26799; 
-0.8236; 8.0188; 5.158; 0.0747; 0.6314; 0.0267; 38.1; -36.9; 22.2; 228.6322; -57.8139; 5.4923; 27.2; 82.0; 3.969; 27007; 
-3.4813; 9.3808; 7.1189; -0.2898; -0.0731; 0.3305; 39.9; -39.0; 20.7; 228.6322; -57.8139; 5.4923; 27.2; 82.0; 3.969; 27207; 
0.2738; 7.8968; 4.3711; 0.0; -0.0486; 0.1599; 38.4; -40.5; 21.6; 230.8025; -57.147; 10.8855; 27.2; 82.0; 3.969; 27408; 
-2.8516; 9.7485; 5.9744; -0.4838; -0.0859; 0.307; 40.2; -40.8; 23.7; 230.8025; -57.147; 10.8855; 27.2; 82.0; 3.969; 27643; 
0.8809; 7.765; 4.4902; -0.0511; 0.0; 0.1567; 39.3; -42.0; 23.7; 230.0042; -58.0378; 10.008; 27.2; 82.0; 3.969; 27854; 
-0.0672; 8.9668; 4.5685; -0.0202; 0.398; 0.1397; 40.8; -42.9; 24.0; 228.2229; -59.9092; 5.8263; 27.2; 82.0; 3.969; 28069; 
-0.9794; 9.0032; 4.632; 0.0; 0.155; 0.1162; 40.2; -42.6; 25.2; 228.2229; -59.9092; 5.8263; 27.2; 82.0; 3.969; 28274; 
0.1187; 8.7562; 4.7427; 0.0608; 0.1368; 0.0245; 40.8; -42.9; 25.8; 227.2063; -62.0437; 4.9697; 27.2; 82.0; 3.969; 28482; 
-0.2922; 8.5597; 4.9691; 0.2932; 0.0324; 0.0661; 40.5; -44.1; 25.8; 227.2063; -62.0437; 4.9697; 27.2; 82.0; 3.969; 28683; 
-0.1103; 8.2868; 4.5811; 0.1632; 0.2455; 0.0501; 40.8; -44.4; 25.2; 227.4447; -62.0437; 4.9697; 27.2; 82.0; 3.969; 28885; 
-0.1421; 8.2496; 4.5847; 0.1056; 0.2168; 0.0416; 41.4; -45.3; 24.9; 227.4447; -62.0437; 4.9697; 27.2; 82.0; 3.969; 29087; 
-0.6323; 7.3217; 4.1425; 0.0949; -0.0646; 0.1855; 41.7; -45.0; 26.4; 224.2684; -60.8112; 2.3859; 27.2; 82.0; 3.969; 29299; 
2.0668; 9.5846; 6.0851; -0.147; -0.1286; 0.0735; 40.2; -45.3; 25.2; 224.111; -60.8112; 2.3859; 27.2; 82.0; 3.969; 29524; 
0.2196; 8.1134; 4.6267; -0.0181; -0.1606; 0.0203; 39.3; -45.0; 24.6; 224.111; -60.8112; 2.3859; 27.2; 82.0; 3.969; 29725; 
0.4892; 7.3663; 4.0973; -0.0479; -0.3332; 0.0256; 40.8; -44.7; 25.2; 222.0656; -60.0327; -1.1691; 27.2; 82.0; 3.969; 29926; 
-0.1283; 8.5722; 5.2604; -0.2088; 0.0398; -0.0842; 40.8; -44.1; 26.1; 222.0656; -60.0327; -1.1691; 27.2; 82.0; 3.969; 30145; 
1.0523; 8.5373; 4.5865; 0.1535; -0.1105; 0.0; 40.2; -43.5; 25.8; 218.089; -60.4138; -5.9469; 27.2; 82.0; 3.969; 30348; 
1.425; 8.4927; 4.8764; 0.2196; 0.1091; -0.0639; 40.5; -44.1; 25.2; 219.18; -61.207; -6.0725; 27.2; 82.0; 3.969; 30567; 
1.0117; 8.5537; 5.1285; 0.0182; -0.0764; -0.0607; 41.1; -44.4; 24.6; 219.18; -61.207; -6.0725; 27.2; 82.0; 3.969; 30769; 
0.9689; 8.276; 4.8915; 0.0874; -0.1829; -0.0255; 40.2; -44.7; 23.4; 218.4442; -60.3558; -7.125; 27.2; 82.0; 3.969; 30973; 
1.4746; 8.3999; 4.9165; -0.0565; -0.5283; -0.0351; 39.3; -43.8; 22.8; 218.4442; -60.3558; -7.125; 27.2; 82.0; 3.969; 31176; 
0.5781; 8.3142; 5.2274; 0.0352; 0.0558; -0.099; 38.4; -43.2; 21.9; 217.4185; -59.7868; -8.1301; 27.2; 82.0; 3.969; 31398; 
0.3338; 8.1736; 4.9691; 0.3837; 0.5877; -0.0361; 38.7; -42.9; 21.6; 217.4185; -59.7868; -8.1301; 27.2; 82.0; 3.969; 31604; 
2.3324; 7.9429; 5.003; 0.0; 0.1198; -0.1214; 37.2; -43.5; 21.6; 217.5067; -58.9923; -7.9696; 27.2; 82.0; 3.969; 31813; 
1.4399; 7.7126; 4.6826; -0.0895; 0.5205; -0.1076; 38.4; -44.4; 21.6; 217.0218; -58.9923; -7.9696; 27.2; 82.0; 3.969; 32094; 
1.856; 8.6004; 5.3707; -0.2611; -0.2138; -0.0916; 38.4; -44.4; 21.6; 217.0218; -58.9923; -7.9696; 27.2; 82.0; 3.969; 32297; 
1.9328; 8.2502; 5.0875; -0.276; -0.2991; -0.0745; 36.0; -44.4; 20.1; 215.2795; -58.8343; -10.204; 27.2; 82.0; 3.969; 32498; 
2.1374; 8.4439; 5.1327; 0.0; -0.0508; -0.1342; 35.4; -42.9; 20.1; 212.5522; -58.5275; -13.4957; 27.2; 82.0; 3.969; 32714; 
